Source,Target,Type,weight
1,4489,Undirected,1
1,5915,Undirected,1
1,22080,Undirected,1
2,8440,Undirected,1
2,23035,Undirected,1
2,25332,Undirected,1
2,31020,Undirected,1
2,35973,Undirected,1
2,39620,Undirected,1
3,22640,Undirected,1
4,15243,Undirected,1
5,11878,Undirected,1
5,13748,Undirected,1
5,39465,Undirected,1
6,1589,Undirected,1
6,2593,Undirected,1
6,5456,Undirected,1
6,6184,Undirected,1
6,7472,Undirected,1
6,10288,Undirected,1
6,12837,Undirected,1
6,14035,Undirected,1
6,14620,Undirected,1
6,16172,Undirected,1
6,16804,Undirected,1
6,21794,Undirected,1
6,25022,Undirected,1
6,26856,Undirected,1
6,27761,Undirected,1
6,30350,Undirected,1
6,32046,Undirected,1
6,36125,Undirected,1
6,38720,Undirected,1
6,38893,Undirected,1
6,39860,Undirected,1
7,28945,Undirected,1
7,30525,Undirected,1
8,24539,Undirected,1
9,31499,Undirected,1
9,38333,Undirected,1
10,33145,Undirected,1
10,33718,Undirected,1
11,32615,Undirected,1
12,21680,Undirected,1
13,7771,Undirected,1
14,21853,Undirected,1
15,22062,Undirected,1
15,32510,Undirected,1
15,37591,Undirected,1
16,20468,Undirected,1
16,22640,Undirected,1
17,34931,Undirected,1
18,33092,Undirected,1
19,49,Undirected,1
19,410,Undirected,1
19,477,Undirected,1
19,694,Undirected,1
19,787,Undirected,1
19,930,Undirected,1
19,1091,Undirected,1
19,1603,Undirected,1
19,1757,Undirected,1
19,1922,Undirected,1
19,1936,Undirected,1
19,2064,Undirected,1
19,2267,Undirected,1
19,2284,Undirected,1
19,2863,Undirected,1
19,3276,Undirected,1
19,3392,Undirected,1
19,3580,Undirected,1
19,3651,Undirected,1
19,3799,Undirected,1
19,3977,Undirected,1
19,4004,Undirected,1
19,4076,Undirected,1
19,4103,Undirected,1
19,4600,Undirected,1
19,4908,Undirected,1
19,5278,Undirected,1
19,5449,Undirected,1
19,5500,Undirected,1
19,5613,Undirected,1
19,5745,Undirected,1
19,5851,Undirected,1
19,5951,Undirected,1
19,6367,Undirected,1
19,6656,Undirected,1
19,7122,Undirected,1
19,7126,Undirected,1
19,7426,Undirected,1
19,7589,Undirected,1
19,7922,Undirected,1
19,8154,Undirected,1
19,8254,Undirected,1
19,8309,Undirected,1
19,8351,Undirected,1
19,8440,Undirected,1
19,8698,Undirected,1
19,8699,Undirected,1
19,8876,Undirected,1
19,8953,Undirected,1
19,9029,Undirected,1
19,9063,Undirected,1
19,9198,Undirected,1
19,9269,Undirected,1
19,9319,Undirected,1
19,9357,Undirected,1
19,9748,Undirected,1
19,9773,Undirected,1
19,9990,Undirected,1
19,10059,Undirected,1
19,10110,Undirected,1
19,10305,Undirected,1
19,10324,Undirected,1
19,10330,Undirected,1
19,10599,Undirected,1
19,10681,Undirected,1
19,10801,Undirected,1
19,11095,Undirected,1
19,11501,Undirected,1
19,11663,Undirected,1
19,12035,Undirected,1
19,12132,Undirected,1
19,12181,Undirected,1
19,12209,Undirected,1
19,12230,Undirected,1
19,12302,Undirected,1
19,12636,Undirected,1
19,12835,Undirected,1
19,13073,Undirected,1
19,13098,Undirected,1
19,13108,Undirected,1
19,13338,Undirected,1
19,13408,Undirected,1
19,14027,Undirected,1
19,14116,Undirected,1
19,14227,Undirected,1
19,14419,Undirected,1
19,14445,Undirected,1
19,14610,Undirected,1
19,14866,Undirected,1
19,14894,Undirected,1
19,14937,Undirected,1
19,14970,Undirected,1
19,15228,Undirected,1
19,15467,Undirected,1
19,15675,Undirected,1
19,15845,Undirected,1
19,15895,Undirected,1
19,16005,Undirected,1
19,16179,Undirected,1
19,16251,Undirected,1
19,16481,Undirected,1
19,16664,Undirected,1
19,16971,Undirected,1
19,17669,Undirected,1
19,17780,Undirected,1
19,18230,Undirected,1
19,18545,Undirected,1
19,18615,Undirected,1
19,18688,Undirected,1
19,18745,Undirected,1
19,18903,Undirected,1
19,19084,Undirected,1
19,19111,Undirected,1
19,19152,Undirected,1
19,19269,Undirected,1
19,19353,Undirected,1
19,19788,Undirected,1
19,19850,Undirected,1
19,19929,Undirected,1
19,19930,Undirected,1
19,20161,Undirected,1
19,20314,Undirected,1
19,20500,Undirected,1
19,20513,Undirected,1
19,20689,Undirected,1
19,20733,Undirected,1
19,20817,Undirected,1
19,20918,Undirected,1
19,21134,Undirected,1
19,21205,Undirected,1
19,21318,Undirected,1
19,21680,Undirected,1
19,21765,Undirected,1
19,21872,Undirected,1
19,22143,Undirected,1
19,22339,Undirected,1
19,22358,Undirected,1
19,22441,Undirected,1
19,22694,Undirected,1
19,22761,Undirected,1
19,22872,Undirected,1
19,23035,Undirected,1
19,23547,Undirected,1
19,23795,Undirected,1
19,23854,Undirected,1
19,23968,Undirected,1
19,23981,Undirected,1
19,24519,Undirected,1
19,24632,Undirected,1
19,24774,Undirected,1
19,24839,Undirected,1
19,25011,Undirected,1
19,25120,Undirected,1
19,25159,Undirected,1
19,25745,Undirected,1
19,25948,Undirected,1
19,25951,Undirected,1
19,26577,Undirected,1
19,26797,Undirected,1
19,27074,Undirected,1
19,27268,Undirected,1
19,27357,Undirected,1
19,27448,Undirected,1
19,27598,Undirected,1
19,28029,Undirected,1
19,28045,Undirected,1
19,28192,Undirected,1
19,28199,Undirected,1
19,28272,Undirected,1
19,28618,Undirected,1
19,28703,Undirected,1
19,28858,Undirected,1
19,28897,Undirected,1
19,28957,Undirected,1
19,28960,Undirected,1
19,29004,Undirected,1
19,29213,Undirected,1
19,29457,Undirected,1
19,29569,Undirected,1
19,29599,Undirected,1
19,29602,Undirected,1
19,29648,Undirected,1
19,29817,Undirected,1
19,30151,Undirected,1
19,30176,Undirected,1
19,30237,Undirected,1
19,30286,Undirected,1
19,30560,Undirected,1
19,30892,Undirected,1
19,30981,Undirected,1
19,31207,Undirected,1
19,31452,Undirected,1
19,31612,Undirected,1
19,31718,Undirected,1
19,31733,Undirected,1
19,31741,Undirected,1
19,31758,Undirected,1
19,32117,Undirected,1
19,32177,Undirected,1
19,32217,Undirected,1
19,32481,Undirected,1
19,32870,Undirected,1
19,32978,Undirected,1
19,33044,Undirected,1
19,33134,Undirected,1
19,33161,Undirected,1
19,33495,Undirected,1
19,33554,Undirected,1
19,33892,Undirected,1
19,34078,Undirected,1
19,34184,Undirected,1
19,34246,Undirected,1
19,34485,Undirected,1
19,34531,Undirected,1
19,34781,Undirected,1
19,34861,Undirected,1
19,34950,Undirected,1
19,35077,Undirected,1
19,35304,Undirected,1
19,35660,Undirected,1
19,35715,Undirected,1
19,35973,Undirected,1
19,36076,Undirected,1
19,36168,Undirected,1
19,36325,Undirected,1
19,36441,Undirected,1
19,36452,Undirected,1
19,36759,Undirected,1
19,36928,Undirected,1
19,36932,Undirected,1
19,37073,Undirected,1
19,37139,Undirected,1
19,37164,Undirected,1
19,37193,Undirected,1
19,37254,Undirected,1
19,37334,Undirected,1
19,37518,Undirected,1
19,37620,Undirected,1
19,37764,Undirected,1
19,38032,Undirected,1
19,38033,Undirected,1
19,38119,Undirected,1
19,38127,Undirected,1
19,38430,Undirected,1
19,38592,Undirected,1
19,38654,Undirected,1
19,38858,Undirected,1
19,38986,Undirected,1
19,39115,Undirected,1
19,39122,Undirected,1
19,39136,Undirected,1
19,39223,Undirected,1
19,39581,Undirected,1
19,39757,Undirected,1
19,39866,Undirected,1
19,39881,Undirected,1
19,39892,Undirected,1
19,40126,Undirected,1
19,40131,Undirected,1
19,40135,Undirected,1
20,32359,Undirected,1
21,325,Undirected,1
22,23252,Undirected,1
23,21875,Undirected,1
23,26409,Undirected,1
24,32212,Undirected,1
25,2064,Undirected,1
25,8440,Undirected,1
26,24251,Undirected,1
26,31733,Undirected,1
27,990,Undirected,1
27,39464,Undirected,1
28,642,Undirected,1
28,721,Undirected,1
28,799,Undirected,1
28,1201,Undirected,1
28,1557,Undirected,1
28,1586,Undirected,1
28,1768,Undirected,1
28,2064,Undirected,1
28,3817,Undirected,1
28,4238,Undirected,1
28,5631,Undirected,1
28,5661,Undirected,1
28,6583,Undirected,1
28,7089,Undirected,1
28,7848,Undirected,1
28,8038,Undirected,1
28,8106,Undirected,1
28,8462,Undirected,1
28,8611,Undirected,1
28,8986,Undirected,1
28,10332,Undirected,1
28,10348,Undirected,1
28,10905,Undirected,1
28,10919,Undirected,1
28,11431,Undirected,1
28,12230,Undirected,1
28,12468,Undirected,1
28,12849,Undirected,1
28,15049,Undirected,1
28,16383,Undirected,1
28,19107,Undirected,1
28,19740,Undirected,1
28,19965,Undirected,1
28,20145,Undirected,1
28,20689,Undirected,1
28,20857,Undirected,1
28,21109,Undirected,1
28,21998,Undirected,1
28,22062,Undirected,1
28,22519,Undirected,1
28,22788,Undirected,1
28,24432,Undirected,1
28,25033,Undirected,1
28,29750,Undirected,1
28,29763,Undirected,1
28,30938,Undirected,1
28,31044,Undirected,1
28,32300,Undirected,1
28,32439,Undirected,1
28,32938,Undirected,1
28,33264,Undirected,1
28,34021,Undirected,1
28,35444,Undirected,1
28,35499,Undirected,1
28,35558,Undirected,1
28,35973,Undirected,1
28,36051,Undirected,1
28,36672,Undirected,1
28,39946,Undirected,1
29,6400,Undirected,1
30,2064,Undirected,1
30,21680,Undirected,1
31,38488,Undirected,1
32,4792,Undirected,1
32,8440,Undirected,1
32,21695,Undirected,1
32,28680,Undirected,1
33,27712,Undirected,1
33,36220,Undirected,1
34,32966,Undirected,1
35,14599,Undirected,1
35,23510,Undirected,1
36,16036,Undirected,1
37,8440,Undirected,1
37,30981,Undirected,1
38,8725,Undirected,1
38,32939,Undirected,1
39,27068,Undirected,1
39,31733,Undirected,1
40,25645,Undirected,1
41,14247,Undirected,1
42,31733,Undirected,1
43,4489,Undirected,1
43,5915,Undirected,1
44,21853,Undirected,1
44,30525,Undirected,1
45,20486,Undirected,1
45,30441,Undirected,1
46,2064,Undirected,1
46,39967,Undirected,1
47,34590,Undirected,1
48,22525,Undirected,1
48,24941,Undirected,1
48,39261,Undirected,1
50,7594,Undirected,1
50,13741,Undirected,1
51,23116,Undirected,1
52,11736,Undirected,1
52,19512,Undirected,1
52,26574,Undirected,1
53,15221,Undirected,1
53,20689,Undirected,1
53,23035,Undirected,1
54,11112,Undirected,1
54,30981,Undirected,1
55,22870,Undirected,1
56,1428,Undirected,1
56,2230,Undirected,1
56,2413,Undirected,1
56,3002,Undirected,1
56,3873,Undirected,1
56,4312,Undirected,1
56,6132,Undirected,1
56,7686,Undirected,1
56,8337,Undirected,1
56,10109,Undirected,1
56,10897,Undirected,1
56,11358,Undirected,1
56,11367,Undirected,1
56,11436,Undirected,1
56,13238,Undirected,1
56,13814,Undirected,1
56,13839,Undirected,1
56,14805,Undirected,1
56,15066,Undirected,1
56,15503,Undirected,1
56,15728,Undirected,1
56,16184,Undirected,1
56,17085,Undirected,1
56,17173,Undirected,1
56,18276,Undirected,1
56,19028,Undirected,1
56,20729,Undirected,1
56,21484,Undirected,1
56,21950,Undirected,1
56,23285,Undirected,1
56,24045,Undirected,1
56,24355,Undirected,1
