Nodes,Degree,Eigenvector,LFVC,Clustering,Ego,hopset,betweenness,closeness
0,0.000990099,0.000484963,5.61E-08,0.333333333,0.666666667,79,0.072496682,0.25997426
1,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
2,0.004290429,0.001519795,3.35E-06,0.615384615,0.384615385,86,0.001075556,0.257916241
3,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
4,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
5,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
6,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
7,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
8,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
9,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
10,0.00330033,0.00010309,3.15E-06,1,0,16,0,0.230138235
11,0.000660066,0.000500965,5.60E-08,1,0,35,0,0.25453629
12,0.000330033,0.000494985,9.31E-08,0,0,29,0,0.250724038
13,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
14,0.000660066,0.000962951,9.21E-08,1,0,41,0,0.254943206
15,0.011221122,0.014052293,0.019514847,0.204991087,0.687759952,362,0.086169865,0.341369986
16,0.000660066,0.001041285,0.009412163,1,0,91,0,0.295206547
17,0.000660066,0.000997219,1.68E-07,1,0,103,0,0.257412284
18,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
19,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
20,0.005610561,0.000612114,1.18E-07,0.889705882,0.055147059,100,0.002126344,0.254109359
21,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
22,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
23,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
24,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
25,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
26,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
27,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
28,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
29,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
30,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
